model,fold,mae,rmse,r2,best_params,spearman,best_params_full_data
Ridge,1,2.494553809631083,2.9360464006764175,-0.9152475778097047,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 10.0}",,
Ridge,2,1.1904481133690747,1.4928696335991978,0.02499590547356756,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,3,0.9401815060694848,1.0402261669530821,0.2813253182200257,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 100.0}",,
Ridge,4,1.630105959118944,1.7872557385150694,-4.282314258121963,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,5,1.97458499790039,2.1634408464637995,-0.05200993999107606,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 100.0}",,
Ridge,6,1.5085072717395624,1.7263074595824204,0.25849590945712386,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,7,1.018875172641286,1.1890157380830362,0.23018580616551998,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,8,1.3979182505274164,1.7015599887934334,-2.1836906675918475,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,9,0.9717570888950492,1.4436575626598391,-0.001096261985222613,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,10,2.0209868655811367,2.632202614866871,-0.06982895330401173,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,11,1.742705353067928,1.8995376269407067,-0.20599491026862005,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,12,2.1288796916311616,2.420789776242569,-3.3690735098566194,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,13,0.746534957088337,0.7954664948815202,0.6014777485849192,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,14,1.5574585372386995,1.9928171375173944,0.3956825380713116,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,15,2.4134068695412263,2.5494193973997334,-4.407354951533578,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 10.0}",,
Ridge,16,1.0975837495271217,1.1873190959097626,0.19004870898010917,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 10.0}",,
Ridge,17,1.938373303813318,2.3618673601210163,0.17749397852868154,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,18,1.5982416438186469,1.9001230157845277,-0.32440653033846,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,19,1.5274491312073046,1.7967792605950772,-0.620513973243481,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,20,1.6562284263749454,1.873798886771868,-0.0198587544524762,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 100.0}",,
Ridge,21,1.128641882154732,1.392346004475775,-0.8319199295872475,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,22,1.9430736798889712,2.3968130737815687,-0.16364026104190543,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,23,1.7040568067872925,1.9823788272580147,0.02429684856954495,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,24,1.4589905939263514,1.7355296358979264,-0.40672532753308643,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,25,0.8837841682451413,0.9582362937742829,0.6269897128013038,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,26,1.4042586401316919,1.5447016789485424,-0.017313635340108435,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,27,1.376985798522149,1.5606171321676536,-1.1734717622507502,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,28,0.9212990055761273,1.144108442890763,0.20493218233625643,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,29,2.017558314853165,2.4133004079112625,0.12071857020066179,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,30,1.7767995691516656,2.0282030218438827,0.11139256385594454,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 100.0}",,
Ridge,31,1.224970783510194,1.3859306676491336,0.3500747828976115,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,32,1.082455071539743,1.311446428180272,-0.21293929848824833,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 100.0}",,
Ridge,33,1.4887610893902898,1.880638974738988,0.14562247791738148,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,34,1.7136998890121375,2.1380646804932537,0.13215267907939854,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,35,1.5065082161518528,1.839737729089017,-1.9172770060330677,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,36,1.6828064206002087,2.3631226227784645,0.0006992507279531823,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,37,0.9007888644916219,1.1318638178473506,0.5441086191540035,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,38,0.75251985579001,0.9839139325495945,0.46513727705250796,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,39,0.8852383668535985,1.0533469347220346,-0.3459906533454593,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,40,1.8080669824420188,2.0802246315531057,-1.4154086270260589,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,41,1.8027823956732167,2.223764199484777,-0.8944535530498277,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 10.0}",,
Ridge,42,0.6890926536313963,0.8250030169103421,0.5135758122059051,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,43,2.4354023650008285,2.737082427906827,0.15617606539790596,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,44,1.151950970712207,1.4046590724996437,0.06769276181400907,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,45,1.6297018233643374,2.013001877653392,-4.633907955153731,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 10.0}",,
Ridge,46,1.8360771452641398,2.301993644599814,0.12816498535750942,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,47,1.044884408023056,1.4346451627304069,0.19790568807388476,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,48,1.93514491998159,2.2141791088814533,-3.773047038564738,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 10.0}",,
Ridge,49,1.4068948017406704,1.709460510795955,-0.7697660415400052,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,50,1.9613094332781396,2.5038829679637806,-10.420963260610494,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 10.0}",,
Ridge,51,1.2976238582269093,1.4530762499323724,-0.25010589299981945,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,52,2.0048932377251214,2.574911377957127,-0.14976475107024778,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,53,1.253898968147048,1.4555087440231391,0.37570597998895805,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,54,2.255163846003493,2.4855459003337312,-1.7868795221203495,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 0.1}",,
Ridge,55,1.2001694462874992,1.3802533426000054,-0.1935752595656921,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,56,2.19592482842409,2.5973295195149038,-0.36546197749247655,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 100.0}",,
Ridge,57,1.1562585984063019,1.2682570666435988,-0.6524726325211969,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,58,1.267397385774862,1.3803453418584026,0.24276386861341126,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,59,1.3169964717338125,1.4181253850287507,0.14572929193399575,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__alpha': 100.0}",,
Ridge,60,1.365876136467947,1.7942433336279775,0.22910707870904212,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
Ridge,61,1.734725324433646,2.340692643153244,-3.006342205278421,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__alpha': 10.0}",,
Ridge,62,1.1997450654309785,1.4944067182808551,-0.09183548375112416,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",,
